Time Period Start,Time Period End,Time Open,Time Close,Price Open,Price High,Price Low,Price Close,Volume Traded,Trades Count
2017-09-11T00:00:00.0000000Z,2017-09-18T00:00:00.0000000Z,2017-09-11T00:00:22.8740000Z,2017-09-17T23:59:44.4890000Z,67.52,72.6,33.33,51.37,10299654.7,626177
2017-09-04T00:00:00.0000000Z,2017-09-11T00:00:00.0000000Z,2017-09-04T00:00:02.1200000Z,2017-09-10T23:59:54.2200000Z,79.45,83.33,61,67.44,6794898.664,619288
2017-08-28T00:00:00.0000000Z,2017-09-04T00:00:00.0000000Z,2017-08-28T00:00:03.0820000Z,2017-09-03T23:59:59.6550000Z,61.57,98.28,58.5003,79.44,7671728.192,744129
2017-08-21T00:00:00.0000000Z,2017-08-28T00:00:00.0000000Z,2017-08-21T00:00:04.6690000Z,2017-08-27T23:59:54.5150000Z,45.57,64.89,44,61.56,3448421.363,375000
2017-08-14T00:00:00.0000000Z,2017-08-21T00:00:00.0000000Z,2017-08-14T00:00:02.9680000Z,2017-08-20T23:59:53.2870000Z,45.22,48,41.15,45.57,1917600.6,254666
2017-08-07T00:00:00.0000000Z,2017-08-14T00:00:00.0000000Z,2017-08-07T00:00:09.2130000Z,2017-08-13T23:59:43.0340000Z,45.29,52,43.62,45.21,2103379.171,250636
2017-07-31T00:00:00.0000000Z,2017-08-07T00:00:00.0000000Z,2017-07-31T00:00:07.5010000Z,2017-08-06T23:59:38.0910000Z,40.81,47.09,37.39,45.33,1961961.567,219137
2017-07-24T00:00:00.0000000Z,2017-07-31T00:00:00.0000000Z,2017-07-24T00:00:01.8460000Z,2017-07-30T23:59:53.4690000Z,45.23,45.89999,38.25,40.82,1871442.789,228709
2017-07-17T00:00:00.0000000Z,2017-07-24T00:00:00.0000000Z,2017-07-17T00:00:14.7280000Z,2017-07-23T23:59:12.2900000Z,40.69,48,38.02352,45.23,3312611.259,261831
2017-07-10T00:00:00.0000000Z,2017-07-17T00:00:00.0000000Z,2017-07-10T00:00:19.3540000Z,2017-07-16T23:59:59.1860000Z,48.76,49.91,34.78,40.53231,4224150.379,307779
2017-07-03T00:00:00.0000000Z,2017-07-10T00:00:00.0000000Z,2017-07-03T00:00:14.0760000Z,2017-07-09T23:59:46.3990000Z,41.23703,57.75,40.38,48.76,5151626.357,363072
2017-06-26T00:00:00.0000000Z,2017-07-03T00:00:00.0000000Z,2017-06-26T00:00:03.3850000Z,2017-07-02T23:59:46.5670000Z,40.34004,43.75,33,41.59,2858553.468,192929
2017-06-19T00:00:00.0000000Z,2017-06-26T00:00:00.0000000Z,2017-06-19T00:00:14.3560000Z,2017-06-25T23:59:40.9970000Z,43.67,51,37.37309,40.34004,3879556.076,358681
2017-06-12T00:00:00.0000000Z,2017-06-19T00:00:00.0000000Z,2017-06-12T08:01:03.5440000Z,2017-06-18T23:59:55.5690000Z,31.81,49,23.435,43.66,6089615.406,454774
2017-06-05T00:00:00.0000000Z,2017-06-12T00:00:00.0000000Z,2017-06-05T00:00:11.4940000Z,2017-06-11T21:58:59.4560000Z,27.79,35.5,27.65,33.34999,3091100.449,228931
2017-05-29T00:00:00.0000000Z,2017-06-05T00:00:00.0000000Z,2017-05-29T00:00:11.8870000Z,2017-06-04T23:59:55.7000000Z,24.76,29.94,22.79915,27.79,2538849.863,248123
2017-05-22T00:00:00.0000000Z,2017-05-29T00:00:00.0000000Z,2017-05-22T00:00:20.8340000Z,2017-05-28T23:59:44.2180000Z,25.95,35.88,17.5,24.73,4267117.02,394832
2017-05-15T00:00:00.0000000Z,2017-05-22T00:00:00.0000000Z,2017-05-15T00:00:04.7770000Z,2017-05-21T23:59:55.1070000Z,28.9,29.89,20.31,25.92,3725847.45,296560
2017-05-08T00:00:00.0000000Z,2017-05-15T00:00:00.0000000Z,2017-05-08T00:00:21.5090000Z,2017-05-14T23:59:33.6440000Z,28.01062,38.91,22.67,28.9,3960048.693,311164
